| idx | angle (deg) | strain   | atoms | surf_ratio |  idx1  |  idx2  |
| 199 |    21.7830 | 0.048762 |    38 |  10/9   |  -1, -5 |   0,-10 |
| 200 |    21.7830 | 0.050111 |   110 |  26/29  |   1, -9 |   4,-10 |
| 201 |    21.7810 | 0.050156 |    82 |  22/19  |   6, -5 |   4, -7 |
| 202 |    21.7810 | 0.050295 |   124 |  29/33  |   1, -9 |   4, -7 |
| 203 |    21.7830 | 0.050520 |   208 |  50/54  |   5, -9 |   0,-10 |
| 204 |    21.7830 | 0.050970 |   182 |  43/48  |   5, -7 |   1,-10 |
| 205 |    21.7820 | 0.051348 |   160 |  42/38  |   3,-10 |   6, -6 |
| 206 |    21.7830 | 0.052573 |   102 |  28/23  |   4,-10 |   6, -8 |
| 207 |    21.7840 | 0.053629 |   204 |  47/55  |   4, -7 |  -1,-10 |
| 208 |    21.7830 | 0.053785 |    70 |  18/17  |   1, -9 |   3, -9 |
| 209 |    21.7810 | 0.054037 |    62 |  17/14  |   5, -3 |   6, -7 |
| 210 |    21.7820 | 0.054342 |    22 |   6/5   |   1, -2 |   6, -6 |
| 211 |    21.7820 | 0.054398 |    90 |  24/21  |   5, -7 |   7, -5 |
| 212 |    21.7830 | 0.054736 |   160 |  39/41  |   3, -9 |  -1,-10 |
| 213 |    21.7830 | 0.055008 |   226 |  53/60  |   6, -7 |   1,-10 |
| 214 |    21.7820 | 0.055227 |    56 |  13/15  |   4, -1 |   7, -5 |
| 215 |    21.7830 | 0.055556 |    52 |  14/12  |   0, -7 |   2, -9 |
| 216 |    21.7860 | 0.056801 |   182 |  50/41  |   4,-10 |   7, -5 |
| 217 |    21.7830 | 0.057262 |    96 |  26/22  |   3,-10 |   5, -8 |
| 218 |    21.7830 | 0.057655 |   168 |  40/44  |   0,-10 |   4, -7 |
| 219 |    21.7810 | 0.058409 |    86 |  24/19  |   6, -8 |   3, -8 |
| 220 |    21.7830 | 0.058455 |    78 |  20/19  |   1,-10 |  -1,-10 |
| 221 |    21.7820 | 0.060470 |   136 |  38/30  |   6, -7 |   8, -3 |
| 222 |    21.7800 | 0.060543 |   214 |  50/57  |   4,-10 |  -1,-10 |
| 223 |    21.7860 | 0.060856 |   148 |  41/33  |   7, -5 |   3, -8 |
| 224 |    21.7820 | 0.062445 |   166 |  39/44  |   3,-10 |   6, -7 |
| 225 |    21.7890 | 0.063374 |    70 |  17/18  |   6, -5 |   5, -7 |
| 226 |    21.7830 | 0.063867 |    18 |   5/4   |   5, -9 |   5, -8 |
| 227 |    21.7820 | 0.064084 |    38 |   9/10  |   4, -1 |   7, -4 |
| 228 |    21.7890 | 0.064526 |   100 |  23/27  |   6, -5 |   5, -8 |
| 229 |    21.7830 | 0.067020 |   160 |  38/42  |   6, -8 |   2, -9 |
| 230 |    21.7870 | 0.067821 |    78 |  19/20  |   7, -5 |   8, -3 |
